OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2998960530018505,0.3798778118507887,-24.359135929657732*(x-0.29989605300185057)*(x-0.29989605300185057)*(x-0.29989605300185057)+3.4774885993457127*(x-0.29989605300185057)*(x-0.29989605300185057)-0.5922954915133033*(x-0.29989605300185057)+1.0847460824037312
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3798778118507887,0.4602251914007015,56.51034824657098*(x-0.3798778118507887)*(x-0.3798778118507887)*(x-0.3798778118507887)-5.0224996740727414*(x-0.3798778118507887)*(x-0.3798778118507887)-0.5035063340073278*(x-0.3798778118507887)+1.0471556778454598
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4602251914007015,0.5507426836263217,6.073793464121249*(x-0.4602251914007015)*(x-0.4602251914007015)*(x-0.4602251914007015)+0.36931286810352587*(x-0.4602251914007015)*(x-0.4602251914007015)-0.21615390625060799*(x-0.4602251914007015)+1.0035883487870034
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.5507426836263217,0.6515393608848095,-72.91728707678352*(x-0.5507426836263217)*(x-0.5507426836263217)*(x-0.5507426836263217)+11.024730378064572*(x-0.5507426836263217)*(x-0.5507426836263217)+0.0*(x-0.5507426836263217)+0.9915531871378898
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.6515393608848095,0.7527470496724625,91.17835490799482*(x-0.6515393608848095)*(x-0.6515393608848095)*(x-0.6515393608848095)-14.643444487644738*(x-0.6515393608848095)*(x-0.6515393608848095)+0.0*(x-0.6515393608848095)+1.0288901643087942
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.7527470496724625,0.8529935639278858,-13.607292408289279*(x-0.7527470496724625)*(x-0.7527470496724625)*(x-0.7527470496724625)+2.0314683906935027*(x-0.7527470496724625)*(x-0.7527470496724625)-0.16223969735921032*(x-0.7527470496724625)+0.9734192802879938
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.8529935639278858,0.9765014867470356,15.203992664077935*(x-0.8529935639278858)*(x-0.8529935639278858)*(x-0.8529935639278858)-6.7658712732236195*(x-0.8529935639278858)*(x-0.8529935639278858)-0.16517833528351722*(x-0.8529935639278858)+0.9638621082648055
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.9765014867470356,1.1,0.8688978308837082
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,-15.0,0.0,1.3475802485603947
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0,0.0796267701494604,1.3475802485603947
